id,displayName,formattedAddress,rating,servesBeer,servesWine,servesCocktails,goodForChildren,goodForGroups,reservable,outdoorSeating,liveMusic,servesDessert,priceLevel,paymentOptions,acceptsCreditCards,acceptsDebitCards,acceptsCashOnly,acceptsNfc,Type
ChIJDcp3HUoxMTARosqXVLseZEw,RamenYA! Plaza Medan Fair,"Plaza Medan Fair, Sekip, Kec. Medan Petisah, Kota Medan, Sumatera Utara, Indonesia","4,8",False,False,False,True,True,True,unknown,False,unknown,unknown,"{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}",True,True,False,True,ramen_restaurant
ChIJS-_Kg4YzMTAR_X1fAFcOqro,Sasini Ramen,"Jl. Bilal Ujung No.216, Indra Kasih, Kec. Medan Tembung, Kota Medan, Sumatera Utara 20221, Indonesia","4,6",False,False,False,True,True,True,True,False,unknown,unknown,{},unknown,unknown,unknown,unknown,ramen_restaurant
ChIJzw1F-6cxMTARAh_pua2hxQc,Orizuru Ramen,"Jl. S. Parman No.248A, Petisah Tengah, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20112, Indonesia","4,5",False,False,False,True,True,True,True,False,unknown,unknown,"{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False}",True,True,False,unknown,ramen_restaurant
ChIJjcCQOtIxMTAReje5zKfpMLk,Hakata Ikkousha,"Jl. Taruma No.80-82, Petisah Tengah, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20151, Indonesia","4,7",True,False,False,True,True,True,False,False,True,PRICE_LEVEL_MODERATE,"{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}",True,True,False,True,ramen_restaurant
ChIJq6ca7DwxMTAREHOxgnrzMR4,GOKANA Ramen & Teppan,"Sun Plaza, Jl. KH. Zainul Arifin No.53 lantai 4, Madras Hulu, Medan Polonia, Medan City, North Sumatra 20151, Indonesia","4,2",False,False,False,True,True,True,unknown,False,True,PRICE_LEVEL_MODERATE,"{'acceptsCreditCards': True, 'acceptsCashOnly': False}",True,unknown,False,unknown,ramen_restaurant
ChIJu5dDfOMxMTARxB9iD_TCNjQ,Ramenlab,"Jl. Karya No.108, Sei Agul, Kec. Medan Bar., Kota Medan, Sumatera Utara 20235, Indonesia","4,8",False,False,False,True,True,True,unknown,False,unknown,unknown,{},unknown,unknown,unknown,unknown,ramen_restaurant
ChIJ3bnDHWk7MTARPzTNu5vL8JE,Kansai ramen,"Gg. Pipa No.I, Gedung Johor, Kec. Medan Johor, Kota Medan, Sumatera Utara, Indonesia",unknown,False,False,False,True,True,unknown,unknown,unknown,unknown,unknown,{},unknown,unknown,unknown,unknown,ramen_restaurant
ChIJaWvJ2lIxMTARmzyhNYgksYc,RamenYA! Sun Plaza Medan,"HMJC+PJM, Jl. KH. Zainul Arifin, Petisah Hulu, Kec. Medan Polonia, Kota Medan, Sumatera Utara, Indonesia","4,6",False,False,False,True,True,unknown,unknown,False,unknown,unknown,"{'acceptsCreditCards': True, 'acceptsCashOnly': False}",True,unknown,False,unknown,ramen_restaurant
ChIJuwoOBhQxMTARZNDbdVSDU5E,HAKORAMEN,"Jl. Suka Ikhlas No.7, Suka Maju, Kec. Medan Johor, Kota Medan, Sumatera Utara 20217, Indonesia","4,7",False,False,False,True,True,unknown,unknown,unknown,unknown,unknown,{},unknown,unknown,unknown,unknown,ramen_restaurant
ChIJi0v768cxMTARV1Me1uQTvkI,Marutama Ra - Men & Nabe,"Lantai 1 Mall Centre Point, Jl. Jawa, Gang Buntu, Medan Timur, Medan City, North Sumatra 20236, Indonesia","4,5",False,False,False,True,True,True,False,False,True,unknown,"{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False}",True,True,False,unknown,ramen_restaurant
